Destination_ID,Destination_Name,State,City,Category,Description,Best_Season,Avoid_Season,Ideal_Duration_Days,Budget_Category,Budget_Per_Person_INR,Hotel_Cost_Per_Night_INR,Food_Cost_Per_Day_INR,Local_Transport_Cost_INR,Family_Friendly,Couple_Friendly,Solo_Friendly,Friends_Friendly,Kids_Friendly,Senior_Citizen_Friendly,Adventure_Level,Nature_Score,Historical_Score,Religious_Score,Shopping_Score,Nightlife_Score,Safety_Score,Cleanliness_Score,Accessibility,Average_Temperature_C,Rainfall_Level,Altitude_Meters,UNESCO_Heritage,Nearest_Airport,Nearest_Railway,Latitude,Longitude,Rating,Number_of_Reviews,Popular_Activities,Nearby_Attractions,Recommended_Months,Languages_Spoken,Famous_For,Suitable_For,Parking_Available,Pet_Friendly,Wheelchair_Accessible,Eco_Tourism,Image_URL
133,Munnar,Kerala,Munnar,Hill Station,Popular tourist destination,Winter,Summer,5 Days,Medium,250,30000,,1777,N,Yes,Yes,yes,Y,Y,0,1,10,8,,4.0,7,4,Difficult,23,Low,200,YES,Airport,Railway Station,13.582905,93.648128,3.7,42850,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,no,no,NO,Y,https://example.com/image.jpg
134,Varanasi Ghats,Uttar Pradesh,Varanasi,Hill Station,,Winter,Summer,5 Days,Luxury,999999,3000,500.0,513,YES,YES,NO,No,yes,NO,2,4,3,5,3.0,7.0,8,9,Moderate,8,Low,991,N,Airport,Railway Station,13.642684,70.588838,2.5,34727,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Luxury Travelers,Yes,Y,Yes,NO,https://example.com/image.jpg
135,Munnar,Kerala,Munnar,Beach,Popular tourist destination,Winter,Summer,5,Low,5000,3000,500.0,818,yes,No,Y,Y,N,Yes,1,3,10,10,1.0,3.0,9,7,Easy,35,Medium,1144,yes,Airport,Railway Station,28.344825,80.632719,4.2,30995,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Luxury Travelers,No,yes,Yes,Yes,https://example.com/image.jpg
136,Manali,Himachal Pradesh,Manali,National Park,Popular tourist destination,Winter,Summer,Five Days,Luxury,999999,1500,,1414,No,YES,YES,No,No,Yes,2,7,2,5,3.0,8.0,3,6,Easy,37,Medium,413,Y,Airport,Railway Station,33.656888,91.576595,3.9,3450,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,no,N,yes,Yes,https://example.com/image.jpg
137,Varanasi Ghats,Uttar Pradesh,Varanasi,Beach,Popular tourist destination,Winter,Summer,05 Days,High,250,1500,500.0,395,YES,yes,NO,No,No,Y,2,9,7,5,,,5,8,Moderate,5,Low,1134,Y,Airport,Railway Station,21.84477,89.670406,2.8,16640,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Solo,no,No,no,YES,https://example.com/image.jpg
138,Ooty,Tamil Nadu,Ooty,Religious,Popular tourist destination,Winter,Summer,Five Days,Luxury,12000,100,500.0,436,no,no,YES,yes,YES,no,3,2,10,6,,,4,3,Moderate,29,Medium,1146,Yes,Airport,Railway Station,32.692776,82.54702,3.3,116,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Other,no,Yes,yes,YES,https://example.com/image.jpg
139,Manali,Himachal Pradesh,Manali,Island,Popular tourist destination,Winter,Summer,5,High,250,3000,1000.0,528,yes,N,no,NO,Y,Yes,5,10,1,6,4.0,10.0,2,2,Difficult,17,Low,1461,no,Airport,Railway Station,13.457575,70.629444,3.3,25952,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Luxury Travelers,N,Y,Yes,No,https://example.com/image.jpg
140,Amritsar,Punjab,Amritsar,Nature,Popular tourist destination,Winter,Summer,Five Days,Medium,250,30000,200.0,1757,no,Yes,Yes,N,Y,Yes,1,10,3,9,9.0,,9,8,Moderate,23,High,2756,No,Airport,Railway Station,12.226102,87.901501,3.2,23102,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Senior Citizens,N,NO,No,NO,https://example.com/image.jpg
141,Munnar,Kerala,Munnar,Religious,Popular tourist destination,Winter,Summer,05 Days,Luxury,250,1500,,489,N,N,YES,No,No,YES,5,7,4,5,6.0,10.0,8,10,Moderate,12,Medium,1656,YES,Airport,Railway Station,14.061829,82.750413,4.0,17587,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Family,Yes,yes,YES,N,https://example.com/image.jpg
142,Ooty,Tamil Nadu,Ooty,Beach,Popular tourist destination,Winter,Summer,5 Days,High,12000,1500,,1315,yes,NO,NO,YES,NO,Yes,2,7,2,6,,,6,5,Easy,31,High,3134,Yes,Airport,Railway Station,11.877226,72.653612,3.4,17751,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Senior Citizens,N,No,no,yes,https://example.com/image.jpg
143,Goa Beaches,Goa,Panaji,Desert,Popular tourist destination,Winter,Summer,5,Luxury,250,30000,500.0,434,yes,yes,No,NO,N,no,7,2,3,4,,,6,8,Easy,11,Low,2209,N,,Railway Station,10.555853,79.11649,,23828,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Solo,yes,Yes,Yes,no,https://example.com/image.jpg
144,Jaipur,Rajasthan,Jaipur,Historical,Popular tourist destination,Winter,Summer,Five Days,Medium,5000,100,,1677,no,NO,NO,Y,NO,no,4,3,4,10,4.0,8.0,3,6,Difficult,10,Medium,3250,NO,Airport,Railway Station,11.982871,84.405333,4.2,233,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Friends,No,NO,NO,YES,https://example.com/image.jpg
145,Jaipur,rajasthan,Jaipur,Desert,Popular tourist destination,Winter,Summer,5 Days,Low,5000,100,500.0,663,NO,No,YES,Yes,YES,yes,0,4,8,4,,,9,10,Easy,18,Medium,3197,Yes,Airport,Railway Station,,94.252413,3.0,5941,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Luxury Travelers,N,Y,N,N,https://example.com/image.jpg
146,Goa Beaches,Goa,Panaji,Forest,Popular tourist destination,Winter,Summer,Five Days,High,5000,100,1000.0,1763,yes,NO,no,no,NO,NO,2,10,9,8,3.0,,9,10,Moderate,28,High,3476,Yes,Airport,Railway Station,19.426765,89.606297,,23437,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Other,yes,YES,N,Y,https://example.com/image.jpg
147,Ooty,Tamil Nadu,Ooty,National Park,Popular tourist destination,Winter,Summer,5,Medium,250,1500,,897,no,no,Y,N,No,Y,3,2,1,10,,10.0,3,8,NA,6,High,171,Yes,Airport,Railway Station,19.089404,70.157433,5.8,17184,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Friends,Yes,N,Yes,YES,https://example.com/image.jpg
148,Munnar,Kerala,Munnar,Beach,Popular tourist destination,Winter,Summer,5,High,999999,1500,200.0,1956,Yes,Yes,NO,Yes,Y,yes,2,10,9,7,,,5,1,NA,5,High,799,No,Airport,Railway Station,18.880927,93.485918,3.3,7059,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,YES,Y,yes,NO,https://example.com/image.jpg
149,Amritsar,Punjab,Amritsar,Lake,Popular tourist destination,Winter,Summer,Five Days,Medium,12000,3000,1000.0,1275,No,No,Yes,Y,NO,yes,6,4,3,2,3.0,,5,4,Moderate,31,Medium,1929,NO,Airport,Railway Station,23.22851,94.221224,,20704,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Family,YES,no,No,N,https://example.com/image.jpg
150,Manali,Himachal Pradesh,Manali,Historical,Popular tourist destination,Winter,Summer,5 Days,Unknown,5000,30000,,1375,YES,N,NO,NO,N,YES,5,8,1,5,10.0,,5,8,Easy,34,Medium,3382,No,Airport,Railway Station,27.428606,92.787302,2.9,15605,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Other,N,N,No,no,https://example.com/image.jpg
151,Mysuru Palace,Karnataka,Mysuru,Historical,Popular tourist destination,Winter,Summer,5,Luxury,12000,3000,,1724,YES,no,yes,YES,YES,No,2,8,3,2,,,4,4,Easy,22,Medium,1491,no,Airport,Railway Station,8.893227,71.458085,4.9,27703,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Solo,YES,YES,YES,no,https://example.com/image.jpg
152,Munnar,Kerala,Munnar,Lake,Popular tourist destination,Winter,Summer,5,Luxury,12000,3000,200.0,1653,no,N,NO,YES,YES,N,6,8,3,4,7.0,,7,2,Easy,8,Low,1081,NO,Airport,Railway Station,13.10672,92.062857,3.2,48875,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,yes,yes,No,Yes,https://example.com/image.jpg
153,Amritsar,Punjab,Amritsar,Pilgrimage,,Winter,Summer,5 Days,Low,12000,1500,1000.0,519,No,yes,No,Y,no,Yes,2,4,9,8,,6.0,8,9,Moderate,31,High,2691,Yes,Airport,Railway Station,10.600681,76.511855,4.2,42264,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Friends,yes,Yes,NO,NO,https://example.com/image.jpg
154,Varanasi Ghats,Uttar Pradesh,Varanasi,Beach,Popular tourist destination,Winter,Summer,5 Days,Luxury,250,30000,,988,yes,Y,NO,yes,N,Yes,3,10,6,3,,,1,8,Moderate,24,Medium,3218,YES,Airport,Railway Station,18.909385,77.6546,4.5,31803,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Other,N,YES,no,no,https://example.com/image.jpg
155,Mysuru Palace,Karnataka,Mysuru,Religious,Popular tourist destination,Winter,Summer,Five Days,Unknown,999999,3000,,243,Yes,YES,Y,no,yes,NO,7,10,5,3,4.0,,4,3,NA,12,Medium,857,Y,Airport,Railway Station,30.51546,68.767427,3.0,14026,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Other,YES,N,No,yes,https://example.com/image.jpg
156,Manali,Himachal Pradesh,Manali,Beach,Popular tourist destination,Winter,Summer,5,Unknown,12000,1500,500.0,584,yes,yes,NO,Y,no,No,0,9,6,3,,2.0,6,7,Moderate,6,Low,3017,N,Airport,Railway Station,23.404699,,3.1,18809,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,N,Yes,YES,no,https://example.com/image.jpg
157,Goa Beaches,Goa,Panaji,Pilgrimage,Popular tourist destination,Winter,Summer,Five Days,Unknown,5000,1500,500.0,1063,yes,Yes,No,Yes,no,N,7,8,9,3,10.0,,9,2,Difficult,7,Medium,2130,NO,Airport,Railway Station,11.982659,91.043299,2.8,10999,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,Yes,No,Yes,YES,https://example.com/image.jpg
158,Manali,Himachal Pradesh,Manali,Pilgrimage,Popular tourist destination,Winter,Summer,5,High,5000,1500,200.0,828,NO,Y,No,no,Yes,N,4,7,4,2,,9.0,3,8,Difficult,15,Medium,163,yes,Airport,Railway Station,11.588536,80.12411,3.4,19307,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Backpackers,N,YES,N,YES,https://example.com/image.jpg
159,Ooty,Tamil Nadu,Ooty,Waterfall,Popular tourist destination,Winter,Summer,5 Days,Unknown,250,100,500.0,1705,no,Y,no,Yes,No,No,1,10,1,7,,,5,4,Easy,12,High,1257,YES,Airport,Railway Station,8.659687,76.409703,3.4,1183,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Senior Citizens,Y,Yes,N,No,https://example.com/image.jpg
160,Mysuru Palace,Karnataka,Mysuru,Nature,Popular tourist destination,Winter,Summer,5 Days,Unknown,5000,3000,,620,NO,No,No,NO,yes,N,3,10,6,2,10.0,,4,4,Easy,33,High,3042,YES,Airport,Railway Station,21.982852,74.882631,3.0,28342,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,Yes,Yes,yes,No,https://example.com/image.jpg
161,Manali,Himachal Pradesh,Manali,Wildlife,Popular tourist destination,Winter,Summer,5,Unknown,12000,30000,500.0,1042,N,Yes,NO,No,N,YES,5,7,9,2,,,2,3,NA,24,Medium,2041,NO,Airport,Railway Station,20.467859,95.018741,3.8,36870,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Friends,yes,no,No,yes,https://example.com/image.jpg
162,Amritsar,Punjab,Amritsar,Forest,Popular tourist destination,Winter,Summer,5 Days,High,12000,3000,,1384,yes,NO,yes,Yes,Yes,yes,7,7,4,3,,6.0,4,4,Easy,18,High,735,N,Airport,Railway Station,22.327784,96.343416,2.9,17999,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Family,no,N,Yes,yes,https://example.com/image.jpg
163,Goa Beaches,Goa,Panaji,Adventure,Popular tourist destination,Winter,Summer,Five Days,High,250,100,500.0,518,YES,N,YES,N,no,Yes,0,4,6,10,,,4,4,Difficult,25,Low,3162,N,Airport,Railway Station,18.442216,81.433263,4.5,23923,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,Yes,Yes,no,yes,https://example.com/image.jpg
164,Varanasi Ghats,Uttar Pradesh,Varanasi,Lake,Popular tourist destination,Winter,Summer,5,High,999999,30000,1000.0,1704,Yes,yes,N,YES,Yes,Y,7,2,7,2,,,2,7,Difficult,30,Medium,2257,yes,Airport,Railway Station,33.858437,70.362886,3.9,41704,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,no,no,No,Yes,https://example.com/image.jpg
165,Goa Beaches,Goa,Panaji,Forest,,Winter,Summer,05 Days,Low,999999,3000,200.0,1497,Y,yes,Yes,YES,YES,Y,6,1,6,5,10.0,8.0,1,5,NA,21,Low,197,Yes,Airport,Railway Station,34.637109,88.546652,3.2,38168,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Senior Citizens,no,Y,yes,no,https://example.com/image.jpg
166,Goa Beaches,Goa,Panaji,Fort,Popular tourist destination,Winter,Summer,Five Days,High,250,3000,200.0,1235,Y,no,YES,YES,N,NO,4,8,7,7,4.0,,8,3,Difficult,29,Low,1948,NO,Airport,Railway Station,32.406235,90.338483,3.7,30904,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Family,Y,yes,yes,Y,https://example.com/image.jpg
167,Ooty,Tamil Nadu,Ooty,Pilgrimage,,Winter,Summer,5 Days,Luxury,12000,100,,1280,YES,NO,Yes,yes,Y,no,5,7,8,6,,,6,7,NA,32,Medium,1864,NO,Airport,Railway Station,8.259818,85.145153,4.4,10114,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Luxury Travelers,No,Y,Y,YES,https://example.com/image.jpg
168,Manali,Himachal Pradesh,Manali,Historical,Popular tourist destination,Winter,Summer,05 Days,Medium,5000,1500,,377,YES,YES,no,No,no,Yes,3,10,5,8,2.0,4.0,3,8,NA,30,Low,1150,Yes,Airport,Railway Station,10.191703,79.562278,3.0,20851,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Other,Y,N,N,N,https://example.com/image.jpg
169,Munnar,Kerala,Munnar,Adventure,Popular tourist destination,Winter,Summer,05 Days,Luxury,999999,100,1000.0,1411,Yes,YES,yes,NO,No,yes,6,5,3,1,,,10,2,Moderate,23,High,1044,NO,Airport,Railway Station,19.308566,,3.2,36033,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Backpackers,Yes,Yes,Y,no,https://example.com/image.jpg
170,Goa Beaches,Goa,Panaji,Fort,Popular tourist destination,Winter,Summer,Five Days,Low,5000,3000,500.0,298,No,No,YES,No,yes,Yes,4,4,9,1,,,2,10,NA,21,Low,1064,no,Airport,Railway Station,15.123725,87.340378,3.1,31047,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,no,YES,no,YES,https://example.com/image.jpg
171,Goa Beaches,Goa,Panaji,Hill Station,Popular tourist destination,Winter,Summer,05 Days,Luxury,250,30000,500.0,1674,YES,No,Yes,N,YES,YES,1,1,4,6,1.0,,4,4,Easy,16,High,1393,yes,Airport,Railway Station,24.696511,75.468191,3.3,11382,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,Yes,Y,NO,Yes,https://example.com/image.jpg
172,Mysuru Palace, Karnataka ,Mysuru,Lake,Popular tourist destination,Winter,Summer,5,Low,999999,100,,1273,yes,NO,Yes,N,NO,N,3,6,5,8,8.0,,2,2,NA,14,Low,34,no,Airport,Railway Station,8.210284,72.325796,3.1,22417,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Solo,yes,NO,NO,no,https://example.com/image.jpg
173,Ooty,Tamil Nadu,Ooty,Palace,Popular tourist destination,Winter,Summer,05 Days,Luxury,12000,1500,500.0,160,no,YES,N,yes,No,No,6,1,2,6,,,6,5,Easy,32,Medium,2044,yes,Airport,Railway Station,25.782511,73.95759,2.6,20485,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,Y,N,Yes,Y,https://example.com/image.jpg
174,Varanasi Ghats,Uttar Pradesh,Varanasi,Waterfall,Popular tourist destination,Winter,Summer,05 Days,Luxury,999999,100,200.0,259,N,Y,N,NO,YES,NO,0,1,7,10,9.0,6.0,8,2,Difficult,18,Low,213,no,Airport,Railway Station,19.386966,85.543375,,40961,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Senior Citizens,no,No,YES,no,https://example.com/image.jpg
175,Goa Beaches,Goa,Panaji,Waterfall,Popular tourist destination,Winter,Summer,Five Days,Luxury,5000,100,500.0,469,N,YES,No,YES,NO,yes,3,5,4,8,,4.0,5,6,Easy,22,Low,3422,no,Airport,Railway Station,33.286757,79.406195,4.1,23838,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Senior Citizens,yes,yes,NO,yes,https://example.com/image.jpg
176,Amritsar,Punjab,Amritsar,National Park,Popular tourist destination,Winter,Summer,5 Days,Luxury,5000,100,,1464,N,No,No,N,YES,N,6,7,4,3,,,2,5,Difficult,30,Low,2612,no,Airport,Railway Station,23.103173,81.713305,4.4,46127,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Luxury Travelers,No,YES,no,Yes,https://example.com/image.jpg
177,Munnar,Kerala,Munnar,Lake,Popular tourist destination,Winter,Summer,05 Days,Low,5000,1500,500.0,103,NO,Yes,No,N,no,Y,6,1,1,5,,,10,3,Moderate,37,Low,570,no,Airport,Railway Station,24.495334,71.947249,3.6,2737,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Backpackers,No,Yes,N,NO,https://example.com/image.jpg
178,Mysuru Palace,Karnataka,Mysuru,Pilgrimage,Popular tourist destination,Winter,Summer,5,High,250,3000,500.0,1776,No,Y,Y,No,no,Yes,7,5,4,2,2.0,1.0,1,4,Difficult,5,Low,1314,no,Airport,Railway Station,29.199734,90.027112,2.7,24443,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Friends,Yes,yes,YES,Yes,https://example.com/image.jpg
179,Munnar,Kerala,Munnar,Nature,Popular tourist destination,Winter,Summer,Five Days,High,5000,1500,200.0,182,No,YES,NO,YES,YES,N,1,2,7,2,7.0,,5,5,Moderate,35,Low,1562,NO,Airport,Railway Station,8.688159,86.533133,4.0,39637,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Solo,No,No,yes,No,https://example.com/image.jpg
180,Ooty,Tamil Nadu,Ooty,Palace,Popular tourist destination,Winter,Summer,5 Days,Luxury,5000,100,500.0,480,yes,No,yes,NO,no,Yes,1,10,3,1,10.0,7.0,7,6,Easy,16,Low,1787,YES,Airport,Railway Station,30.910554,80.612345,5.8,18792,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Senior Citizens,No,Y,YES,No,https://example.com/image.jpg
181,Manali,Himachal Pradesh,Manali,Fort,Popular tourist destination,Winter,Summer,05 Days,Unknown,250,30000,,683,yes,Yes,no,Y,N,Y,7,9,8,6,,4.0,3,8,Easy,34,Medium,59,N,Airport,Railway Station,32.727246,84.107436,5.0,39406,"Sightseeing, Photography",Local Market,Winter,"Hindi, English",Tourism,Senior Citizens,No,Yes,Yes,N,https://example.com/image.jpg
182,Jaipur,Rajasthan,Jaipur,Forest,Popular tourist destination,Winter,Summer,5,Unknown,999999,30000,1000.0,1691,NO,yes,yes,N,YES,NO,2,3,5,1,,,9,10,Difficult,27,Medium,1730,no,Airport,Railway Station,14.982159,90.357519,3.4,2837,"Sightseeing, Photography",Local Market,Apr-Jun,"Hindi, English",Tourism,Other,no,Y,Yes,Yes,https://example.com/image.jpg
183,Jaipur,Rajasthan,Jaipur,Religious,Popular tourist destination,Winter,Summer,5,High,12000,1500,,403,NO,no,Y,Y,Yes,yes,5,6,8,7,6.0,5.0,4,5,Difficult,27,Low,170,no,Airport,Railway Station,26.708374,81.671591,4.4,25219,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Family,no,Yes,No,no,https://example.com/image.jpg
184,Mysuru Palace,Karnataka,Mysuru,Desert,Popular tourist destination,Winter,Summer,5,Unknown,12000,100,,878,yes,yes,Yes,No,Y,N,0,5,3,1,,,6,10,Difficult,27,Medium,2656,N,Airport,Railway Station,,95.56486,3.8,25477,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Other,no,N,YES,NO,https://example.com/image.jpg
185,Munnar,Kerala,Munnar,Pilgrimage,Popular tourist destination,Winter,Summer,Five Days,Luxury,999999,100,1000.0,1772,yes,Yes,N,No,N,no,5,6,4,2,,,5,6,NA,38,High,2259,YES,Airport,Railway Station,18.831273,77.845444,4.6,7902,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Couple,N,No,No,N,https://example.com/image.jpg
186,Goa Beaches,Goa,Panaji,Palace,,Winter,Summer,5,Medium,250,3000,200.0,623,NO,yes,yes,yes,NO,NO,4,7,5,2,,,10,7,Difficult,13,High,1750,no,Airport,Railway Station,16.281725,69.959226,4.3,35975,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,no,N,Yes,YES,https://example.com/image.jpg
187,Manali,Himachal Pradesh,Manali,Desert,Popular tourist destination,Winter,Summer,5,High,12000,1500,1000.0,385,Y,YES,no,N,no,NO,3,5,1,7,,7.0,8,6,Easy,27,Medium,433,Yes,Airport,Railway Station,13.709457,89.328435,2.6,3012,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Other,NO,YES,YES,N,https://example.com/image.jpg
188,Ooty,Tamil Nadu,Ooty,Desert,Popular tourist destination,Winter,Summer,Five Days,High,12000,1500,,1688,N,NO,Yes,Y,No,no,5,6,2,10,,,6,5,Easy,27,Low,74,no,Airport,Railway Station,26.460843,95.073037,4.4,19394,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Solo,no,no,YES,No,https://example.com/image.jpg
189,Manali,Himachal Pradesh,Manali,Forest,Popular tourist destination,Winter,Summer,5 Days,Luxury,5000,3000,200.0,1461,Y,yes,No,yes,No,yes,7,9,7,6,10.0,9.0,9,4,Easy,18,Medium,1132,YES,Airport,Railway Station,19.959211,79.378866,4.8,12362,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Senior Citizens,Y,No,N,N,https://example.com/image.jpg
190,Amritsar,Punjab,Amritsar,Religious,Popular tourist destination,Winter,Summer,5,Low,250,1500,200.0,1088,Yes,N,Y,No,Yes,no,1,1,1,1,7.0,7.0,5,7,Difficult,26,Medium,2578,YES,Airport,Railway Station,13.054225,91.64202,4.8,7764,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Friends,no,N,NO,Yes,https://example.com/image.jpg
191,Amritsar,Punjab,Amritsar,Historical,Popular tourist destination,Winter,Summer,05 Days,Medium,250,1500,500.0,1349,No,yes,Yes,Y,Y,YES,0,6,8,6,,,6,10,Easy,6,Medium,1722,N,,Railway Station,19.602091,71.491964,,34839,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Family,Yes,Y,yes,No,https://example.com/image.jpg
192,Munnar,Kerala,Munnar,Historical,Popular tourist destination,Winter,Summer,05 Days,High,999999,100,1000.0,448,No,yes,N,YES,N,Yes,5,9,10,8,,9.0,6,1,Easy,19,High,591,YES,Airport,Railway Station,18.401185,88.421304,4.7,19617,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Senior Citizens,NO,Y,no,Yes,https://example.com/image.jpg
193,Goa Beaches,Goa,Panaji,Wildlife,Popular tourist destination,Winter,Summer,Five Days,Medium,250,1500,500.0,806,No,N,No,Y,No,no,3,9,1,4,1.0,6.0,3,3,Moderate,6,High,924,yes,Airport,Railway Station,24.325127,87.526963,4.5,25068,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Luxury Travelers,YES,N,yes,yes,https://example.com/image.jpg
194,Manali,Himachal Pradesh,Manali,Nature,Popular tourist destination,Winter,Summer,5 Days,Luxury,12000,100,,1337,YES,no,N,NO,No,Yes,4,3,5,9,3.0,,3,9,NA,20,Medium,1077,Yes,Airport,Railway Station,27.774766,82.296664,3.6,26294,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Family,yes,Y,Yes,Yes,https://example.com/image.jpg
195,Munnar,Kerala,Munnar,Nature,Popular tourist destination,Winter,Summer,Five Days,High,12000,30000,1000.0,904,yes,yes,Yes,N,no,Yes,4,10,1,3,,,8,1,Easy,35,Low,168,NO,Airport,Railway Station,20.526012,87.978567,4.1,9217,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Senior Citizens,No,yes,No,YES,https://example.com/image.jpg
196,Manali,Himachal Pradesh,Manali,National Park,Popular tourist destination,Winter,Summer,Five Days,Low,5000,100,,182,YES,N,N,yes,no,Y,2,1,10,6,,,9,3,Difficult,18,Low,897,No,Airport,Railway Station,21.361776,73.329584,3.6,1936,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Couple,Yes,N,N,Yes,https://example.com/image.jpg
197,Mysuru Palace,Karnataka,Mysuru,Desert,Popular tourist destination,Winter,Summer,5 Days,Medium,250,1500,,270,N,No,YES,NO,Y,N,7,5,5,3,,7.0,10,1,Moderate,12,Low,217,YES,Airport,Railway Station,18.501233,91.405763,2.9,24435,"Sightseeing, Photography",Local Market,"Nov, Dec","Hindi, English",Tourism,Other,Y,no,NO,Yes,https://example.com/image.jpg
198,Varanasi Ghats,Uttar Pradesh,Varanasi,Palace,Popular tourist destination,Winter,Summer,5,Low,5000,30000,1000.0,106,NO,No,N,yes,YES,Y,3,6,8,9,,5.0,10,7,Moderate,16,High,371,Y,Airport,Railway Station,9.999805,73.919036,3.6,13066,"Sightseeing, Photography",Local Market,January to March,"Hindi, English",Tourism,Family,Y,Yes,Yes,no,https://example.com/image.jpg
199,Manali, Himachal Pradesh ,Manali,National Park,Popular tourist destination,Winter,Summer,5 Days,Unknown,999999,100,200.0,1522,N,no,NO,Yes,YES,No,4,4,5,8,,,1,4,Easy,6,Low,1468,YES,Airport,Railway Station,26.831456,94.751206,4.6,5313,"Sightseeing, Photography",Local Market,Jan-Mar,"Hindi, English",Tourism,Solo,NO,no,no,no,https://example.com/image.jpg
200,Amritsar,Punjab,Amritsar,Religious,Popular tourist destination,Winter,Summer,05 Days,Low,5000,30000,1000.0,1314,no,NO,N,yes,YES,YES,5,10,3,7,,,4,5,Difficult,5,High,1913,Y,Airport,Railway Station,16.766452,95.455574,3.8,27754,"Sightseeing, Photography",Local Market,,"Hindi, English",Tourism,Family,Y,yes,no,NO,https://example.com/image.jpg
